,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
AC004687.1,252.8678972482899,-0.057531951022451046,0.2346839646014378,-0.2451464935840724,0.8063430043166488,0.9999963907630119,False
AC004687.2,13.932309007097325,-0.21318398859418985,0.6509374444547423,-0.32750303490800625,0.7432874478957048,0.9999963907630119,False
AC004706.3,8.808291169038435,0.06332901860766625,0.7389929682342835,0.08569637510757613,0.9317077837745026,0.9999963907630119,False
AC004707.1,8.344697502173156,0.6485953752961912,0.8714829155010477,0.7442433623879933,0.456729258979391,0.9999963907630119,False
AC004765.1,9.25489745627749,0.17360314233329585,0.7217006164301557,0.2405473105898292,0.8099059911342952,0.9999963907630119,False
AC004771.1,2.946641149134129,1.0032716148368868,1.3321422351606171,0.7531264968233078,0.45137390335128513,0.9999963907630119,False
AC004771.2,1.891830863985293,-0.8553535423129863,1.7246160692271593,-0.49596751275563045,0.6199173320075577,0.9999963907630119,False
AC004771.3,3.594890164060336,-0.49060137934791,1.2117625107529653,-0.40486594938727727,0.6855760487940595,0.9999963907630119,False
AC004771.5,4.572185432571032,-0.22034253782399157,1.271046478125951,-0.17335521683586877,0.8623722238707757,0.9999963907630119,False
AC004801.1,1.8340389400419987,4.344120673025604,2.455612357569623,1.7690579946930558,0.07688419684644644,0.9999963907630119,False
